source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
89,ChIJZ5H-dov_sUAR2vMaefS-zgA,location_89_ChIJZ5H-dov_sUAR2vMaefS-zgA,89,True,a54c0400e8726b6e0720765c940c8ddc2f400b143656190d528d81776f5aee65,,495
90,ChIJZY6Birb_sUARXA_cH7HRYuw,location_90_ChIJZY6Birb_sUARXA_cH7HRYuw,90,True,6008a284ebb593cf01bf796dba2a835d9a5e1db76cba0a767475779b6c6448a6,,561
91,ChIJ_-VACWj5sUARjzYJyNUZ7SQ,location_91_ChIJ_-VACWj5sUARjzYJyNUZ7SQ,91,True,cd323db51a8c4795d8ac4f8ef10c0f0bb190ce2fe2c1f38ebdb5afba154a5117,,484
92,ChIJ_YTkBkj_sUARxDXh4gKr_Fs,location_92_ChIJ_YTkBkj_sUARxDXh4gKr_Fs,92,True,3f252a5092e2830a626bea5dc86dbec32100abc2d662717c3b5cb5d88d51a94f,,479
93,ChIJ__XT-iIBskARxH1ONHRXjNU,location_93_ChIJ__XT-iIBskARxH1ONHRXjNU,93,True,fed2b20bdeb27c1fc3023f2d6de75ed1dde40d26ae13954cdecdb129fb97ee36,,495
94,ChIJbbc8_9j9sUAREUu3zjoVAjM,location_94_ChIJbbc8_9j9sUAREUu3zjoVAjM,94,True,03271718b4fc3dca012afc9c9390476497964b9f33e6cb2f8c2324f18f3a9869,,553
95,ChIJcyHFMkz_sUARCk76FPKYzPc,location_95_ChIJcyHFMkz_sUARCk76FPKYzPc,95,True,304bc8d58d62d0ba87075a507d2e2089f94fd3278f98544dc6726d407ae8a375,,461
96,ChIJdVxAv5P_sUARnfbrY5pziwg,location_96_ChIJdVxAv5P_sUARnfbrY5pziwg,96,True,adffc551e7fb2f33899975653b31a79bc7e2cfb7d0118a3dcae351ae0f35b034,,493
97,ChIJdWjuC14BskARtDDKtHWqXEU,location_97_ChIJdWjuC14BskARtDDKtHWqXEU,97,True,f4af9e38115891623a0b148b0a706c85c0bc8011df2ea2d668837486aadc2226,,509
98,ChIJdZxfR_QDskARas9i6kbkdFQ,location_98_ChIJdZxfR_QDskARas9i6kbkdFQ,98,True,20a742f9f7c86c6ad5823f7ac36ab69d59774d6405b4e996679a0c55113bd4dc,,508
99,ChIJdezDHnIBskARCjkYMSxtIRo,location_99_ChIJdezDHnIBskARCjkYMSxtIRo,99,True,8264cd8d0790b805801689b196e9bb29dc693708293f4ad41b1e2e900c276de7,,460
100,ChIJfd-FtLUBskARDM7Dea85jRQ,location_100_ChIJfd-FtLUBskARDM7Dea85jRQ,100,True,9bfc56885aa9291358588794780e8a77089625ec486d11ba2ad14f9aa851d380,,545
101,ChIJfyLKbIr_sUARtGQWj2M7WlQ,location_101_ChIJfyLKbIr_sUARtGQWj2M7WlQ,101,True,e37d78de29c489cad9c5febbca629cd05b7ecb52a071608375b8f2fb03d601dc,,514
102,ChIJg-ns-Q3_sUARQTmutxdt92s,location_102_ChIJg-ns-Q3_sUARQTmutxdt92s,102,True,5b9b7b64e85f4068fa781c7c6fa8c4283492ce397e47983c7632f86e663b40e9,,506
103,ChIJg0O7krwBrkARpZ-F4XsaUMQ,location_103_ChIJg0O7krwBrkARpZ-F4XsaUMQ,103,True,ffda78874fd7cc098d79857b11d3385d8ecf6b3f410029ec851a291dab826f24,,508
104,ChIJg74_hkr_sUARrufole-Ktfc,location_104_ChIJg74_hkr_sUARrufole-Ktfc,104,True,b7b923f42d27b000ca8af5f6e3abaa044799acbc6cf2c8f4a9aab3594f0bc9ae,,471
105,ChIJg_fHBrv_sUAR68FMpBkms20,location_105_ChIJg_fHBrv_sUAR68FMpBkms20,105,True,df17411f4173e196e1e4d3db20c5687e794b166609f06690491a1c51feae23a0,,535
106,ChIJgcWNhT0DskARY_boBZwt8Bk,location_106_ChIJgcWNhT0DskARY_boBZwt8Bk,106,True,150cb2cc49b35c061dc90ef2cfd6d6f3bfc73fc4746ecf4da433faf417c114b0,,482
107,ChIJhRO67mf_sUAReWA0O-I3-DY,location_107_ChIJhRO67mf_sUAReWA0O-I3-DY,107,True,dd27418851e3fecf6ebd53fe24dc7bcfb0bda0dec71f873204727eec74a5034b,,534
